Sentence,Tense,Verb
yes that's a rooster,1,s
cock_a_doodle fresh what,0,None
looks like the head of a cow,1,looks
what,0,None
what,0,None
basketball,0,None
no I don't think he would sleep in a bunkhouse,1,don't
he would sleep in a bunkhouse,1,would
yep he does look like Pappy doesn't he,1,does
a moustache mhm,0,None
that's a beard,1,s
that's a little one,1,s
I don't know what kind you'd call that,1,don't
you'd call that,1,d
it's right here,1,s
you missed what,2,missed
what are you looking for,1,are
cowboy's funny,1,s
what are you laughing about,1,are
not on your hat,0,None
fighting Rin_tin_tin,0,None
Rin_tin_tin is the doggie,1,is
the little boy's name is what,1,is
no that's the doggie,1,s
don't fight me,1,don't
I don't know,1,don't
it's all squashed up,1,s
I don't recognize it,1,don't
no Shadow's hat wouldn't look like that,1,wouldn't
that too small,0,None
did you tell Ursula what you did yesterday that was bad,2,did
what you did yesterday that was bad,2,did
that was bad,2,was
what did you get all over your face and hands,2,did
what was it,2,was
medicine yes,0,None
mercurochrome,0,None
yes and that was naughty wasn't it,2,was
wasn't it,2,wasn't
you aren't going to do it again are you,3,aren't going to
no,0,None
you're sleeping,1,re
oh you're sleeping in the bunkhouse,1,re
sleeping on the floor,0,None
I don't think cowboys sleep in their hats,1,don't
moustache,0,None
beard,0,None
beard,0,None
what is that,1,is
do you know what that is,1,do
no,0,None
that's an eagle,1,s
yeah,0,None
yes eagles that are alive do fly,1,are
what about birdies,0,None
birdies fly,1,fly
Rin_tin_tin is a dog and dogs don't fly,1,is
dogs don't fly,1,don't
wait you can't fly either,1,can't
somebody what,0,None
who did what,2,did
cowboy did what,2,did
did what,2,did
Mommy did what,2,did
you're what,1,re
climbing what,0,None
dog missed it,2,missed
he changed from a cowboy to a dog,2,changed
where are you going,1,are
that's no tunnel that's a microphone,1,s
that's a microphone,1,s
where are you sitting,1,are
wanna what,1,wanna
he's saying part of his grace,1,s
Rin_tin_tin doesn't have fingers,1,doesn't
it's Rusty who has fingers,1,has
Rin_tin_tin is the dog,1,is
what is it,1,is
flower it's a mouse,1,s
do you want me to take it off,1,do 
Rusty's hat,0,None
Rin_tin_tin is the doggie,1,is
I don't know,1,don't
whose hat is that,1,is
cowboy hat,0,None
what's the cowboy's name,1,s
oh the cowboy's named Adam,1,s
you almost ran into Mr Cromer's feet,2,ran
Adam do you want Mommy to take your cowboy hat and put it up,1,do 
you can't play with it anymore until you learn to take care of it,1,can't
until you learn to take care of it,1,learn
what are you doing,1,are
wanna get back,1,wanna
what happened,2,happened
kiss your knee,1,kiss
what happened,2,happened
you kiss it,1,kiss
you're closer than Mommy,1,re
feel better,1,feel
can you take it off,1,can 
don't fight you,1,don't
who's been fighting you,1,s
oh the cowboy was fighting you,2,was
oh the cowboy was fighting Rin_tin_tin,2,was
cowboy reach,1,reach
no he needs his paper,1,needs
let him give you some paper okay,1,let
please,0,None
who wrote on that,2,wrote
Cromer did,2,did
do you know what it says,1,do
what it says,1,says
what does that say,1,does
well what does that say,1,does
you tell me,1,tell
what is that,1,is
pencil what,0,None
bring your scissors over to the table,1,bring
yes,0,None
Rin_tin_tin is a doggie and he can't write,1,is
he can't write,1,can't
oh this is a house,1,is
thank you,1,thank
what a nice house,0,None
love a what,1,love
why not,0,None
for moose,0,None
what moose,0,None
what was that you did,2,was
what are you doing,1,are
what are you doing,1,are
what about Daddy coming home,0,None
you'll put the trash in there and Daddy will take it out when he comes home,3,ll 
and Daddy will take it out when he comes home,3,will
when he comes home,1,comes
you've got what on,1,ve
shoes on pants on shirt on,0,None
what else,0,None
shoelace,0,None
what else,0,None
what else,0,None
Cromer's face,0,None
what else,0,None
no I haven't socks on,1,haven't
Ursula has boots on,1,has
eyes,0,None
how man eyes,0,None
four eyes,0,None
how many ears,0,None
four ears,0,None
yes how many noses,0,None
four,0,None
how many mouths,0,None
pop goes the weasel,1,goes
ouch,0,None
why does Mommy get spanked,1,does
are you Mommy and I'm Adam,1,are
and I'm Adam,1,m
why are you spanking Adam,1,are
hot,0,None
because it's not,1,s
house,0,None
no,0,None
what is that,1,is
Shadow did,2,did
alright,0,None
well leave the box there and pick the rubber bands up,1,leave
pick the rubber bands up,1,pick
you were sposta pick them up off the floor ,2,were
and put them in the box,2,put
close the box and close the drawer,1,close
and close the drawer,1,close
Daddy says to have two minutes,1,says
have two minutes to do what,1,have
squeaking not squealing,0,None
the drawer I guess,1,guess
well put them in and close the box,1,put
and close the box,1,close
put them in and close the drawer,1,put
and close the drawer,1,close
put the other box down,1,put
that pan yes put it down,1,put
that,0,None
put that down,1,put
what about two minutes,0,None
why isn't there a house anymore,1,isn't
yes I thought you said this was a house,2,thought
you said this was a house,2,said
this was a house,2,was
why did you change your mind,2,did
no pull the drawer out again and pull the box down,1,pull
and pull the box down,1,pull
two minutes what,0,None
what are you doing,1,are
yes what are you doing,1,are
you're cutting in the trash can,1,re
two minutes about what,0,None
you dropped them on the cowboy's knee,2,dropped
what did the cowboy do,2,did
harpsichord,0,None
the record player's in the kitchen but the harpsichord is out here,1,s
 but the harpsichord is out here,1,is
whose suitcase,0,None
yes the harpsichord record is in the living room,1,is
and the record player is in the kitchen,1,is
you know where it went,1,know
where it went,2,went
read that,0,None
what does it say,1,does
oh it says harpsichord,1,says
how do you spell harpsichord,1,does
oh Daddy's harpsichord,0,None
yes you are a big boy,1,are
you put all that paper in the trash can for Mommy,1,put
for Daddy,0,None
oh somebody's house,0,None
whose house is that,1,is
you dropped it,2,dropped
behind you,0,None
no in front of you,0,None
mhm,0,None
two minutes,0,None
no not in that drawer,0,None
what's in there,1,s
what about two minutes,0,None
for two minutes,0,None
for doing something naughty he hadta sit on the steps for two minutes,2,hadta
I don't know,1,don't
what is it,1,is
cup,0,None
those are Daddy's things,1,are
don't take them out,1,don't
what was that,2,was
oh you're going to put it on your tricycle,3,re going to
where are you going to put it,3,are you going to
oh what does it do,1,does
oh it goes right there,1,goes
you don't care,1,don't
why are you putting it there,1,are
I don't know,1,don't
what does the rubber band do,1,does
mhm,0,None
oh it helps to pull it,1,helps
yes what does it do,1,does
it helps the wheels turn,1,helps
didn't you drop some on the floor,2,didn't
I understood fire truck,2,understood
you're going to hafta pick all those rubber bands up and put them back,3,re going to 
I wouldn't take so many out,1,wouldn't 
Cromer isn't taking any out,1,isn't
no he's not taking them out,1,s
I don't see how they can help you because they won't stay on the wheels,1,don't
how they can help you because they won't stay on the wheel,1,can
because they won't stay on the wheel,3,won't
on the wheels no,0,None
no I don't think they will,1,don't
they will,3,will
I don't think so,1,don't
now you have too many,1,have
now no more,0,None
close the drawer,1,close
you missed it,2,missed
screws,0,None
what are you putting on,1,are
no more,0,None
look on the floor,1,look
go look behind your firetruck on the floor,1,go
I don't know who did,2,don't
who did,2,did
it must have been Adam,1,must
well what is that,1,is
keep what up in the air,1,keep
Adam what are those papers under your tricycle,1,are
look under your other wheel,1,look
the other one,0,None
look under the one,0,None
thank you very much,1,thank
they don't really belong over there,1,don't
yes you still have some on there,1,have
I thought he said you two fighting,2,thought
he said you two fighting,2,said
belongs on the pedal,1,belongs
what happened,2,happened
no thank you,1,thank
no I don't any my fingers popped,1,don't
any my fingers popped,2,popped
he doesn't want his fingers popped either,2,doesn't
his fingers popped either,2,popped
you popped your finger didn't you,2,popped
didn't you,2,didn't
I don't know,1,don't
what,0,None
where does that go,1,put
oh you put it together again,1,don't
they don't really belong in there,1,can't
no,0,None
Mommy can't do it if you can't do it,1,can't
if you can't do it,1,can't
why are you looking at Ursula,1,are
aren't you ashamed,1,aren't
they'll think you're just a little baby,3,ll 
yes leave the doggie up,1,leave
he's dirty and you're changing his diaper,1,s
you're changing his diaper,1,re
does he have boots on,1,does
I don't think his legs are long enough to go in the boot,1,don't
his legs are long enough to go in the boot,1,are
what,0,None
are you coming,1,are
what do you want Cromer to move for,1,do
do you want me to set over there,1,do
what are you going to do,3,are you going to
good night,0,None
cross the bridge,1,cross
what bridge,0,None
Soakie's under there,1,s
Adam what are you doing,1,are
we don't want all these beetles,1,don't
okay,0,None
oh that's a big one,1,s
a beetle can you tell Urs where you went yesterday,2,can
where you went yesterday,2,went
we didn't go to the grocery store,2,didn't
where did we go,2,did 
yes we went in the car,2,went
and what did you see,2,did
animals,0,None
a big doggie eating,0,None
but he was much bigger than Perro,2,was
do you remember what the place was called,2,do
what the place was called,2,was
no zoo,0,None
yeah we saw the parrot,2,saw
you didn't see an elephant,2,didn't
what else did you see,2,did
a lamb,0,None
is that what it says,1,is
what it says,1,says
big dog,0,None
yeah big doggie was eating,2,was
oh broke a pencil,2,broke
you mustn't play with a pencil in your hand,1,mustn't
lots of boots,0,None
oh no what will he write with,3,will
big what,0,None
a big needle,0,None
oh another needle,0,None
I don't know what is it,1,don't
what is it,1,is
oh Cromer's pencil,0,None
oh is that the sky,1,is
I don't know,1,don't
what is it,1,is
is that Humpty_Dumpty,1,is
who spanked Humpty_Dumpty's face,2,spanked
I don't know,1,don't
oh he's under your finger,1,s
write on the other side honey,1,write
you need a chair,1,need
Humpty_Dumpty what,0,None
see,1,see
careful,0,None
I don't know,1,don't
where is he,1,is
down where,0,None
there's Humpty_Dumpty,1,s
where did you say he was,2,did
he was,2,was
oh in Pembroke,0,None
a muffin man,0,None
you'll be back,3,ll
okay,0,None
where does the muffin man live,1,does
mhm,0,None
careful don't hit Ursla,1,don't
is that a refrigerator,1,is
moon,0,None
where did it go,2,did
up where,0,None
on your side of the paper,0,None
my turn,0,None
oh what're you doing,1,re
what are you doing,1,are
okay,0,None
what are you doing,1,are
what,0,None
on the paper,0,None
you wrote on my finger,2,wrote
okay,0,None
there's nothing in here to read,1,s
Mommy's read it,1,s
no that's not shampoo,1,s
that's dressing,1,s
salad dressing,0,None
what you put on salad,2,put
what's that,1,s
painting,0,None
I don't think it's a painting,1,don't
I think it's really a photograph,1,s
you do what,1,don't
you're picking the ball,1,re
and what did you do with my piece of paper,2,did
no,0,None
why would he want that in his face,1,would
no I don't want some,1,don't
I don't know,1,don't
you what,0,None
oh no you don't pull on books,1,don't
no this is yours,1,is
you take the card,1,take
hm,0,None
what,0,None
what are you doing,1,are
where's your page,1,s
no,0,None
that's no the one that has the markings on it,1,s
no you don't pull on books,1,don't
you don't throw books either,1,don't
can you read it,1,can
you don't find pictures,1,don't
no that doesn't have any pictures in it,1,doesn't
you may fall,1,fall
if I let go you'll fall and hurt yourself,1,let
you'll fall and hurt yourself,3,ll
you're tires,1,re
oh I thought you were tired,2,thought
you were tired,2,were
see,0,None
what happened,2,happened
what happened,2,happened
I did,2,did
see what,1,see
you fell down,2,fell
oh you're in the rodeo,1,re
oh what are you doing,1,are
are you riding a horse,1,are
what are you riding,1,are
oh you're going to ride a horse,1,re
yes he is heavy,1,is
now how are you going to get down,1,are
careful,0,None
you're okay,1,re
no but that's not ground,1,s
you don't use a pencil for that do you,1,don't
you write with a pencil,1,write
that's not a hammer,1,s
you don't use that either,1,don't
what are you doing,1,are
pushing what away,0,None
you're pushing that shadow away,1,re
whose shadow,0,None
your shadow,0,None
I don't see your shadow,1,don't
what,0,None
Ricky's in there,1,s
what happened,2,happened
you're okay,1,re
you can't ride that horse can you,1,can't
can you ,1,can
it's a big horse,1,re
oh you can ride that one,1,can't
you can't ride Perro,1,can't
he's too small isn't he,1,s
isn't he,1,isn't
no you can't ride on the tail,1,can't
no you don't need a blanket,1,don't
funny Pinocchio,0,None
Adam,0,None
careful,0,None
what do you say,1,do
you didn't kick Perro,2,didn't
whom did you kick with your shoe,2,did
you hit Mr Cromer with your shoes,2,hit
you kicked him with your shoe,2,kicked
kiss it,1,kiss
kiss what,1,kiss
you want him to kiss your dirty shoes,1,want
he has dirty feet doesn't he,1,has
doesn't he,1,doesn't
no that's not yours is it,1,s
is it,1,is
under there,0,None
let who,1,let
who,0,None
no Adam,0,None
don't step on it,1,don't
Daddy's going to ride in the car,1,s
he's not a copy cat,1,s
you're a copy cat,1,re
don't break the points Adam he needs that to write with,1,don't
he needs that to write with,1,needs
I think he meant let me play with Mr Cromer,1,think
he meant let me play with Mr Cromer,2,meant
let me play with Mr Cromer,1,let
something broke,2,broke
don't break Mr Cromer's pencil,1,don't
he won't be able to write anymore,3,won't
where are you putting that Adam,1,don't
don't what,1,change
change,1,is
where is the point,1,show
show me the point,1,put
put your finger on the point,1,s
birdie toe,0,None
that's the point,1,s
this is what you write with,1,is
what you write with,1,write
no that's not apple,1,s
no,0,None
no thank you,1,thank
what are you doing,1,are
you dropped your hat,2,dropped
what is that,1,is
don't hit the table so hard,1,don't
you fell down,2,fell
why did you fall down,2,did
eat,1,eat
I'm not hungry,1,m
no thank you,1,thank
no thank you,1,thank
I don't want a spoon,1,don't
be quiet,1,be
oh you're going to eat,3,re going to
no thank you,1,thank
you already brought the supper,2,brought
you two be quiet,1,be
alright,0,None
what is it,1,is
oh it's macaroni,1,s
let me eat the macaroni,1,let
that's very good,1,s
did you bake that yourself,2,did
like a piece of meat,0,None
no thank you,1,thank
I don't know,1,don't
maybe you dropped it out in the kitchen,2,dropped
what kind of meat is it,1,is
big meat,0,None
no thank you,1,thank
don't push Adam ,1,push
that's not nice,1,s
what are you getting now,1,are
I don't think you need a fork,1,don't
you need a fork,1,need
Adam what are you doing,1,are
why do you have a hat ,1,do 
and why do you have that,1,do
careful,0,None
that was in the trash ,2,was
and you took it out didn't you,2,took
didn't you,2,didn't
what,0,None
bite your pants,1,bite
who bit your pants,2,bite
doggie did,2,did
which doggie,0,None
oh tomorrow you'll go fishing,3,ll
the fish bit you and the cowboy bit you and a big doggie bit you,2,bit
and the cowboy bit you and a big doggie bit you,2,bit
and a big doggie bit you,2,bit
you got lots_of bites didn't you,2,got
didn't you,2,didn't
why do you hafta put the hat on when you're out there,1,do
when you're out there,1,re
why do you hafta wear a hat,1,do
oh big doggie bite Ursla and Cromer,0,None
what are you doing,1,are
cowboy lost the hat,2,lost
bandana,0,None
you don't wear a bandana,1,don't
cowboy likes a boot,1,likes
why does the cowboy like boots,1,does
you don't have any boots on,1,don't
you have a hat on,1,have
what else,0,None
what else do you have on Adam,1,do
what else,0,None
bandana,0,None
you don't have any bandana,1,don't
what else,0,None
hat,0,None
what else,0,None
what else,0,None
who took them,2,took
Santa did,2,did
oh he can't write with a spoon,1,can't
you write with a pencil,1,write
tomato,0,None
put it in your hat,1,put
what are you doing,1,are
you're going to fall,3,re going to
what,0,None
a what,0,None
you will,3,will
just a minute Santa Claus,0,None
oh Santa Claus has boots on just like you,1,has
let you need them on,1,let
oh you're going to get the saddle and bridle,3,re going to 
oh the saddle and bridle are all_gone,1,are
what happened to them,2,happened
Mommy's pointing,1,s
oh,0,None
your saddle and bridle,0,None
oh that's what cowboy's horses wear,1,s
what cowboy's horses wear,1,wear
who get out,1,get
cowboys did,2,did
watch your head,1,watch
oh you'll be back,3,ll 
where are you,1,are
you're where,1,re
a little while,0,None
oh you're okay ,1,re
you wanna play in the bunkhouse,1,wanna
other bunkhouse,0,None
somebody went away,2,went
you're going to dance with Cromer,3,re going to
no Adam don't put that in the microphone,1,don't
that can't go in there,1,can't
no don't put it in the microphone,1,don't
what is it anyway,1,is
that's not a screw,1,s
no that isn't a screw,1,isn't
is that part of the broom,1,is
Adam no,0,None
she needs to write with the pencil,1,needs
Adam,0,None
that wasn't nice was it,2,wasn't
was it,2,was
what are those,1,are
Jesus,0,None
Jesus stands up what,1,stands
oh horsie,0,None
another Jesus,0,None
Jesus does what,1,does
stirs,1,stirs
Jesus walks,1,walks
walk,0,None
did what,2,did
no Adam that's not nice,1,s
write on your paper,1,write
no don't get on the table,1,don't
where's the hook an ladder,1,s
get off the table honey,1,get
the table may fall,1,may
you knocked it off,2,knocked
why is that a Jesus,1,is
careful with the pencil honey,0,None
we're Jesus,1,re
no don't you hit anybody with the pencil,1,don't
stop crying,1,stop
Adam be careful with the pencil,1,be
well you bring it and put it on the table,1,bring
and put it on the table,1,put
Adam pick the pencil up and put it on the table,1,pick
and put it on the table,1,put
you're rolling the tape,1,re
careful with your pencil honey,0,None
Adam no don't do that to the rug,1,don't
okay,0,None
Adam,0,None
don't put the screwdriver on the rug like that,1,don't
what do you use your screwdriver for,1,don't
not for digging,0,None
you use a shovel for digging,1,use
yes you need a shovel but you don't have a shovel so you can't dig,1,need
but you don't have a shovel so you can't dig,1,don't
so you can't dig,1,can't
yes but you don't have a shovel do you,1,don't
when spring comes and we go outside you may have a shovel to dig in the sand outside,1,comes
and we go outside you may have a shovel to dig in the sand outside,1,go
you may have a shovel to dig in the sand outside,1,may
why don't you go work on your firetruck with the screwdriver,1,don't
what about the screws on your firetruck,0,None
are they all there,1,are
mhm,0,None
she doesn't have anything to show you in that bag,1,doesn't
where's Robin on there,1,s
no that's not David,1,s
Robin Adam,0,None
they are working,1,are
oh Robin is a little boy,1,is
you don't like it,1,don't
why,0,None
no there's nothing in there,1,s
oh no,0,None
no that's Urs bag,1,s
what's in there,1,s
no don't take it out,1,don't
I don't know,1,don't
you ask Urs,1,ask
that's her bag,1,s
what are they,1,are
gloves,0,None
you keep that,1,keep
you put them on your hand,1,put
is that the right one,1,is
you put it on,1,put
that's a fastener,1,s
is that right,1,is
no the doggie can't wear gloves,1,can't
he doesn't have fingers,1,doesn't
no doggie doesn't have fingers,1,doesn't
small doggie,0,None
he doesn't have fingers either,1,doesn't
he doesn't have fingers,1,doesn't
no thank you,1,thank
well what do you have in the trash can,1,do
why don't you put that on the table,1,don't
come take Urs gloves off,1,come
you got them,2,got
where did you get them,2,did
from the bag,0,None
alright put them back,1,put
Adam you have another one out here,1,have
Adam what are you doing,1,are
no we don't need our forks,1,don't
thank you,1,thank
thank you,1,thank
little what,0,None
little talk,0,None
what is that Adam,1,is
please,0,None
maybe she's afraid of doggies,1,s
see what,0,None
read a magazine,1,read
is that what you have a magazine,1,is
what are you reading in the magazine,1,are
let me want fork,1,let
oh that's too much for you to take ,1,s
you're cutting it,1,re
no thank you,1,thank
what is that,1,is
what is that in the bottle,1,is
what,0,None
it's hot,1,s
what's hot,1,s
radiator is hot,1,is
bandana belongs to the cowboy,1,belongs
write the name cowboy hat,1,write
what is that that you're writing on,1,is
you're writing on,1,re
tomato,0,None
oh that's corn,1,s
what kind of corn,0,None
what kind of corn is it,1,is
take the pencil out_of your mouth,1,take
corn on the cob,0,None
take the pencil out_of your mouth,1,take
you've finished your corn haven't you,1,ve
all_gone,0,None
no,0,None
take the pencil out_of your mouth,1,take
what is that,1,is
smoke,0,None
what kind of smoke is that,1,is
you're sitting at the table,1,re
well what kind of smoke is that,1,is
oh cigarette smoke,0,None
what,0,None
what,0,None
put the pencil right on the table,1,put
why don't you write a tomato for me,1,don't
okay you draw a cowboy hat,1,draw
oh that's a nice cowboy hat,1,s
what is in there,1,is
sauce,0,None
I'm going to wash his hands and feet,3,m 
come on Adam,1,come
Adam,0,None
leave those mops alone and come out here,1,leave
and come out here,1,come
no you don't do that on Mommy's rug,1,don't
you're a big boy,1,re
Adam what about your poor doggies who are sitting out here waiting for you,1,are
what,0,None
no you don't do that Adam ,1,don't
what do you say,1,do 
excuse me please,1,excuse
no where could she go,1,could
where could she sit,1,could
no,0,None
yes you sit down there ,1,sit
and read a story to the microphone,1,read
are you going to listen to a story,3,are
well your story books are out here aren't they,1,are
aren't they,1,aren't
oh you're big boy to read that,1,re
yes that's a nice story too,1,s
oh what about the kitty,0,None
that's a nice story,1,s
what's funny,1,s
yes that's a nice story,1,s
where did all the pieces go,2,did
you can use the table Adam if you wanna,1,can
if you wanna,1,wanna
I don't know,1,don't
I don't know,1,don't
I don't think so,1,don't
I think he's standing on his feet,1,think
he's standing on his feet,1,s
you know where he goes not that way,1,know
where he goes not that way,1,goes
that goes there doesn't it,1,goes
doesn't it,1,doesn't
I don't think so,1,don't
faster,0,None
is it going faster,1,is
that's her pocketbook,1,s
okay,0,None
have you seen everything,1,have
what,0,None
what is it Adam,1,is
booking,0,None
I don't know,1,don't
teaching,0,None
oh teasing,0,None
you're teasing Cromer,1,re
do you know what this is,1,do
what this is,1,is
no that's not a car,1,s
pin,0,None
what kind of pen,0,None
car,0,None
what kind of car,0,None
red car,0,None
yellow car,0,None
what do you do with it,1,do
where what go,1,go
horse,0,None
did he go to the corral,2,did
you're doing tricks,1,re
doing tricks,0,None
what kind of tricks,0,None
chair tricks,0,None
oh you're laughing,1,re
chair tricks,0,None
do I remember chair tricks,1,do
you're pressing a button,1,re
and what happens,1,happens
to the horse's tail,0,None
rope tricks,0,None
oh you fell down on Mommy's floor,2,fell
no don't throw that,1,don't
what is it,1,is
tricks,0,None
oh your rope tricks,0,None
I don't think it will if you put him down there,3,don't
try him up there,1,try
well it doesn't really belong there,1,doesn't
careful don't hit Ursula with your horse,1,don't
yes I see,1,see
hello,0,None
I don't know what happened,1,don't
what happened,2,happened
what happened to him,2,happened
I don't know,1,don't
Rusty's down there,1,s
cowboy's grass,0,None
what,0,None
what,0,None
what happened,2,happened
oh don't take it from you,1,don't
what is it now,1,is
I don't know,1,don't
I don't know,1,don't
be quiet,1,be
what are you doing,1,are
what are you doing,1,are
what is that,1,is
you can't play with that,1,can't
it's a can top,1,s
strong and healthy,0,None
what will make you strong and healthy,3,will
supper,0,None
what,0,None
gasoline,0,None
that's not a rocket,1,s
that's not a rocket,1,s
that's a Wheaties box,1,s
what,0,None
careful,0,None
you go over near the door,1,go
where did your rocket go,2,did
you got your rocket,2,got
where are you trying to send your rocket,1,are
to Rusty,0,None
watch it kids,1,watch
no Adam,0,None
Adam,0,None
hitting him a little,0,None
okay well that's enough,1,s
you might hurt him,1,might
isn't the rocket heavy,1,isn't
what kind of flag,0,None
what,0,None
Adam don't throw the ball okay,1,don't
what's wrong with it,1,s
oh it's a trailer,1,s
push Rusty down,1,push
go where,1,go
well I can't do that,1,can't
well no I don't think you know how by yourself yet do you,1,don't
you know how by yourself yet do you,1,know
do you,1,do 
hm,0,None
what's the trailer doing,1,s
nothing,0,None
watching you,0,None
oh,0,None
I wouldn't throw my hat,1,wouldn't
careful of the light Adam,0,None
you fell down,2,fell
careful Adam,0,None
hm,0,None
be careful,1,be
you're going to leave your horses down there,1,re
yes I'm watching you,1,m
no Adam you don't climb up there,1,don't
come down,1,come
no I don't want that book thank you,1,don't
come down or else you can't player over there anymore,1,come
or else you can't player over there anymore,1,can't
get down,1,get
I don't know what happened to you,2,don't
what happened to you,2,happened
oh what happened to the cowboy,2,happened
get what,1,get
get what,1,get
what did you say,2,did
don't know,1,don't
he doesn't see you putting any boots on,1,doesn't
you aren't putting any boots on,1,aren't
Adam you're going to fall,3,re going to
see you what,1,see
no it doesn't come out,1,doesn't
it won't come out,3,won't
may be,1,be
well she needs her pencil,1,needs
do you want a pencil,1,do
here's your pencil over here,1,s
what,0,None
get out_of the way,1,get
who's in your way,1,s
that doesn't belong on the floor,1,doesn't
ask Ursula what that is,1,ask
what that is,1,is
you ask her,1,ask
what is it,1,is
that's right,1,s
give it back to Ursla,1,give
why don't you ask her what it is,1,don't
that's Urs,1,s
whose,0,None
I don't think that's yours,1,don't
no let Urs look now Adam,1,let
here's your paper and your pencil,1,s
g,0,None
let her finish looking in her pocket book now,1,let
who is the somebody,1,is
Adam wait,1,wait
oh that's dollar,1,s
pay money for what,1,pay
buy money pay,1,buy
pay what,1,pay
this doesn't cut,1,doesn't
what are you going to do,3,are you going to 
how many are there Adam,1,are
are you going to put them back in the box,3,are you going to 
oh then put it,1,put
well you didn't put those in the box,2,didn't
why don't you bring the box over here and count them as you put them in,1,don't
and count them as you put them in,1,count
what do you do with the pipe,1,do
sounded like soldier but I don't know,2,sounded
but I don't know,1,don't
oh button press,0,None
oh button on the chair,0,None
what happens when you press the button,1,happens
sixteen,0,None
watch,1,watch
got it,2,got
what did you get,2,did
you caught it,2,caught
what did you catch,2,did
meadow pond,0,None
oh a meadow pond,0,None
what about the meadow pond,0,None
you jumped over it,2,jumped
I don't think you can jump over the pipe,1,don't
you can jump over the pipe,1,can
yes you did jump over the pipe didn't you,2,did
didn't you,2,didn't
you missed it,2,missed
missed it,2,missed
press over the candle maker,1,press
when did you press the button,2,did
where were you,2,were
when you pressed the button where were you Adam,2,pressed
where were you Adam,2,were
where were you when you pressed the button,2,were
when you pressed the button,2,pressed
what were you riding in,2,were
riding in what,0,None
in a what,0,None
in taxi,0,None
you dropped a taxi wheel,2,dropped
hm,0,None
if you like to,1,like
thank you,1,thank
everybody,0,None
oh what happened to the taxi wheels,2,happened
anybody what,0,None
oh that's for Cromer,1,s
alright,0,None
Urs has one,1,has
thank you,1,thank
what shall I buy with my dollar,1,shall
what,0,None
unicorn,0,None
I don't know where to find a unicorn,1,don't
well where's your unicorn,1,s
you took our money ,2,took
now you hafta give us a unicorn,1,hafta
hm,0,None
horsie,0,None
why I thought you were buying us a unicorn,2,thought
you were buying us a unicorn,2,were
the unicorn didn't wanna come,2,didn't
what,0,None
help you reach,1,help
that's for the unicorn,1,s
buy this one,1,buy
in it,0,None
putting them in Rusty's hat,0,None
what happened,2,happened
Rusty didn't want them in his hat,2,didn't
why are you throwing,1,are
no Adam what's the matter,1,s
what happened,2,happened
are you tired,1,are
what happened,2,happened
what happened,2,happened
no,0,None
did you ask Urs if she wanted those dollars in her pocket book,2,did
if she wanted those dollars in her pocket book,2,wanted
oh she's going shopping,1,s
what does she hafta buy,1,does
money to pay Rusty,0,None
well what's she hafta pay Rusty for,1,s
what did he do,2,did
what did Rusty do,2,did
well what are you buying,1,are
what did you buy,2,did
I see you have some crumpled dollars,1,see
you have some crumpled dollars,1,have
you're going shopping,1,re
what did you do with the dollars,2,did
Adam did you ask Urs ,2,did
if you could go in her bag,2,could
careful Adam,0,None
let Urs do it,1,let
can you put them back in the bag,1,can
don't what Adam,1,don't
that goes on your ears and the sound comes through the wires,1,goes
and the sound comes through the wires,1,comes
you plug this in,1,plug
no Adam,0,None
we hafta put this up now,1,hafta
what do you hear,1,do
can you hear Urs,1,can
no you can't,1,can't
what,0,None
Adam,0,None
throw this way,1,throw
no it's not a toy,1,s
over on your chair,0,None
I don't know what that is,1,don't
what that is,1,is
what is it,1,is
button let you press,1,let
what,0,None
a box,0,None
what,0,None
Cromer can't change your diaper,1,can't
she can't change your diaper either,1,can't
no don't put your foot up there,1,don't
Urs can't change your diaper like that,1,can't
do you want me to change your diaper,1,don't
oh you're telling the microphone,1,re
will you ask them to excuse you,3,will
did he catch you,2,did
you're playing peekaboo with Cromer,1,re
did he catch you,2,did
oh you caught him,2,caught
oh you fell down in the bunkhouse,2,fell
you fell down with your shoes,2,fell
with your shoes,0,None
what,0,None
drop it on the point,1,drop
no those are his glasses,1,are
oh there it goes,1,goes
yes,0,None
no don't play with glasses,1,don't
do you like grapefruit,1,do
you like cereal,1,like
do you like grapefruit,1,do 
thank you,1,thank
he dropped his pencil,2,dropped
yes now you pick it up,1,pick
where did it go,2,did
how many pencils are there,1,are
watch,1,watch
who turned around,2,turned
you've got a tunnel,1,ve
sounded like radiator ,2,sounded
but maybe he means elevator,1,means
where are they,1,are
don't go down,1,don't
where do you wanna go,1,don't
Daddy went down,2,went
in what,0,None
how many pencils,0,None
three,0,None
what is that,1,is
elevator,0,None
elevator,0,None
this is a radiator,1,is
this is a radiator,1,is
so you mean elevator,1,mean
radiator,0,None
this is a radiator,1,is
what,0,None
oh peek you,1,peek
put it on the wall,1,put
that's where Adam put his paintings ,1,s
where Adam put his paintings,2,put
so his Daddy will see them when he comes home,3,will
when he comes home,1,comes
what do you call that,1,do
you dropped a g,2,dropped
no go get your rubber band,1,go
up on your shelf,0,None
yes,0,None
up there,0,None
what's that,1,s
light,0,None
your what,0,None
did you have any more,2,did
oh outside,0,None
yes you sit outside,1,sit
whose blanket,0,None
oh does Adam have a blanket,1,does
why do you need your blanket,1,does
I think it's out in the kitchen,1,s
a what,0,None
oh is that a small one,1,is
